id;des
1;CONTRATO U ORDEN DE COMPRA
2.1;ESPECIFICACIONES TECNICAS
2.2;MODELO 3D
2.3;PLANOS DE MONTAJE
2.4;PLANOS DE FABRICACION 
2.5;REGISTRO DE RFI
3.1;PLAN DE INSPECCION Y ENSAYO
3.2;PLAN DE CALIDAD
4.1;PROCEDIMIENTOS DE CALIDAD
5.1;WPS-PQR
5.2;WPQ
5.3;CWI
5.4;INSPECCION DE PINTURA
5.5;ENSAYOS NO DESTRUCTIVOS
6.1;EQUIPOS
6.2;INSTRUMENTOS
7.1;CERTIFICADOS DE CALIDAD
7.2;MTR REPORTE DE PRUEBA DE MATERIALES
7.3;REPORTE DIMENSIONALES
7.4;REPORTE DE SOLDADURA
7.5;REPORTE DE PINTURA
8;PRE ARMADO - FOTOS
9;NCR NO CONFORMIDADES
10;LIBERACIONES DE CALIDAD
11;PACKING LIST
